company,country_iso,year,productionGroup,oil_&_gas_production_boe/day,oil_production_boe/day,gas_production_boe/day,oil_&_gas_reserves_boe
ADNOC,ARE,2011-01-01,Large domestic producers,3.575783e+06,2.501893e+06,1.07389e+06,
ADNOC,ARE,2012-01-01,Large domestic producers,3.894568e+06,2.597808e+06,1.29676e+06,
ADNOC,ARE,2013-01-01,Large domestic producers,4.01498e+06,2.73131e+06,1.28367e+06,
ADNOC,ARE,2014-01-01,Large domestic producers,4.049426e+06,2.745696e+06,1.30373e+06,
ADNOC,ARE,2015-01-01,Large domestic producers,4.200902e+06,2.927602e+06,1.2733e+06,
ADNOC,ARE,2016-01-01,Large domestic producers,4.28601e+06,3.019e+06,1.26701e+06,
ADNOC,ARE,2017-01-01,Large domestic producers,4.666e+06,3e+06,1.666e+06,
BAPCO,BHR,2011-01-01,Medium domestic producers,149863.0137,,,
BAPCO,BHR,2012-01-01,Medium domestic producers,132054.7945,,,
BAPCO,BHR,2013-01-01,Medium domestic producers,142739.726,,,
BAPCO,BHR,2014-01-01,Medium domestic producers,154246.5753,,,
BAPCO,BHR,2015-01-01,Medium domestic producers,149589.0411,,,
BAPCO,BHR,2016-01-01,Medium domestic producers,153972.6027,,,
BAPCO,BHR,2017-01-01,Medium domestic producers,,,,
Basra Oil Company,IRQ,2011-01-01,Large domestic producers,1.887210764e+06,1.824337764e+06,62873,
Basra Oil Company,IRQ,2012-01-01,Large domestic producers,2.08302003e+06,2.02716103e+06,55859,
Basra Oil Company,IRQ,2013-01-01,Large domestic producers,2.159611227e+06,2.102439227e+06,57172,
Basra Oil Company,IRQ,2014-01-01,Large domestic producers,2.524191822e+06,2.457679822e+06,66512,
Basra Oil Company,IRQ,2015-01-01,Large domestic producers,2.910902668e+06,2.826932668e+06,83970,
Basra Oil Company,IRQ,2016-01-01,Large domestic producers,,,,
Basra Oil Company,IRQ,2017-01-01,Large domestic producers,,,,
CNOOC,CHN,2011-01-01,Internationalized operators,,,,
CNOOC,CHN,2012-01-01,Internationalized operators,,,,
CNOOC,CHN,2013-01-01,Internationalized operators,,,,
CNOOC,CHN,2014-01-01,Internationalized operators,,,,
CNOOC,CHN,2015-01-01,Internationalized operators,,,,
CNOOC,CHN,2016-01-01,Internationalized operators,,,,
CNOOC,CHN,2017-01-01,Internationalized operators,,,,
CNOOC Limited,CHN,2011-01-01,Internationalized operators,909000,708286,200714,3.19e+09
CNOOC Limited,CHN,2012-01-01,Internationalized operators,935615,742765,192850,3.4919e+09
CNOOC Limited,CHN,2013-01-01,Internationalized operators,1.127967e+06,912603,215364,4.4276e+09
