country,country_iso,region,year,oil_&_gas_production_boe/day,oil_production_boe/day,gas_production_boe/day,oil_&_gas_reserves_boe
Algeria,DZA,Middle East/North Africa,2011-01-01,2.96866952e+06,1.641503205e+06,1.327166315e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2012-01-01,2.844717833e+06,1.536809071e+06,1.307908762e+06,3.9466401911e+10
Algeria,DZA,Middle East/North Africa,2013-01-01,2.8080664060000004e+06,1.485233041e+06,1.322833365e+06,3.9466401911e+10
Algeria,DZA,Middle East/North Africa,2014-01-01,2.925823502e+06,1.5890926030000001e+06,1.336730899e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2015-01-01,2.915049857e+06,1.557665233e+06,1.357384624e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2016-01-01,3.10079924e+06,1.5769972680000002e+06,1.5238019719999998e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2017-01-01,3.06161762e+06,1.540270986e+06,1.521346634e+06,3.9466959765e+10
Angola,AGO,Sub-Saharan Africa,2011-01-01,1.670399937e+06,1.670399937e+06,0,9.055e+09
Angola,AGO,Sub-Saharan Africa,2012-01-01,1.7340636509999998e+06,1.7340636509999998e+06,0,9.055e+09
Angola,AGO,Sub-Saharan Africa,2013-01-01,1.747642115e+06,1.747642115e+06,0,9.011e+09
Angola,AGO,Sub-Saharan Africa,2014-01-01,1.6680984719999998e+06,1.6680984719999998e+06,0,8.423e+09
Angola,AGO,Sub-Saharan Africa,2015-01-01,1.772163284e+06,1.772163284e+06,0,9.524e+09
Angola,AGO,Sub-Saharan Africa,2016-01-01,1.776869535e+06,1.755006715e+06,21862.82,9.523e+09
Angola,AGO,Sub-Saharan Africa,2017-01-01,1.786722489e+06,1.674393689e+06,112328.8,9.523e+09
Argentina,ARG,Latin America/Caribbean,2011-01-01,1.297356778e+06,668486.3712,628870.4068,4.558912176e+09
Argentina,ARG,Latin America/Caribbean,2012-01-01,1.269726346e+06,657968.7605,611757.5851,4.284119922e+09
Argentina,ARG,Latin America/Caribbean,2013-01-01,1.222880265e+06,646726.1416,576154.1235,4.337496493e+09
Argentina,ARG,Latin America/Caribbean,2014-01-01,1.214782205e+06,639795.756,574986.449,4.411830218e+09
Argentina,ARG,Latin America/Caribbean,2015-01-01,1.240741995e+06,648993.4309,591748.5636,4.538579527e+09
Argentina,ARG,Latin America/Caribbean,2016-01-01,1.247278856e+06,625664.8261,621614.0299,4.221557576e+09
Argentina,ARG,Latin America/Caribbean,2017-01-01,1.2127994009999998e+06,593394.47,619404.9314,4.221557576e+09
Azerbaijan,AZE,Eurasia,2011-01-01,1.19803275e+06,932075.8082,265956.9418,1.3421412597e+10
Azerbaijan,AZE,Eurasia,2012-01-01,1.162594078e+06,882321.2295,280272.8486,1.3421412597e+10
Azerbaijan,AZE,Eurasia,2013-01-01,1.179268788e+06,888381.3288,290887.4588,1.3341107853e+10
Azerbaijan,AZE,Eurasia,2014-01-01,1.167696858e+06,861175.3562,306521.5017,1.5423430178e+10
Azerbaijan,AZE,Eurasia,2015-01-01,1.16403797e+06,850847.6027,313190.3671,1.5294655112e+10
Azerbaijan,AZE,Eurasia,2016-01-01,1.1422686909999999e+06,837523.5109,304745.1801,1.5294655112e+10
Azerbaijan,AZE,Eurasia,2017-01-01,1.090162518e+06,794529.9315,295632.5867,1.5294655112e+10
Bahrain,BHR,Middle East/North Africa,2011-01-01,247040.0272,36556.16,210483.8672,1.308271763e+09
Bahrain,BHR,Middle East/North Africa,2012-01-01,257166.9418,39550.69,217616.2518,1.191014622e+09
Bahrain,BHR,Middle East/North Africa,2013-01-01,275636.8351,42915.07,232721.7651,1.138385982e+09
Bahrain,BHR,Middle East/North Africa,2014-01-01,288479.2677,43441.09,245038.1777,1.083110721e+09
Bahrain,BHR,Middle East/North Africa,2015-01-01,291418.1744,45369.86,246048.3144,1.028140819e+09
Bahrain,BHR,Middle East/North Africa,2016-01-01,289175.1191,44383.56,244791.5591,9.741888683e+08
Bahrain,BHR,Middle East/North Africa,2017-01-01,291700.3123,40331.51,251368.8023,9.741888683e+08
Bangladesh,BGD,Asia-Pacific,2011-01-01,326497.2023,0,326497.2023,2.112826034e+09
Bangladesh,BGD,Asia-Pacific,2012-01-01,355744.1681,0,355744.1681,1.669164271e+09
Bangladesh,BGD,Asia-Pacific,2013-01-01,366023.3223,0,366023.3223,1.532923032e+09
Bangladesh,BGD,Asia-Pacific,2014-01-01,383855.0646,0,383855.0646,1.405441846e+09
Bangladesh,BGD,Asia-Pacific,2015-01-01,431070.1009,0,431070.1009,1.243342403e+09
Bangladesh,BGD,Asia-Pacific,2016-01-01,441022.0672,0,441022.0672,1.118898954e+09
Bangladesh,BGD,Asia-Pacific,2017-01-01,443339.6988,0,443339.6988,1.118898954e+09
Bolivia,BOL,Latin America/Caribbean,2011-01-01,259547.2159,8882.224,250664.9919,1.705576621e+09
Bolivia,BOL,Latin America/Caribbean,2012-01-01,295426.1063,9650.972,285775.1343,1.92498723e+09
Bolivia,BOL,Latin America/Caribbean,2013-01-01,337868.2165,11482.48,326385.7365,1.804675575e+09
Bolivia,BOL,Latin America/Caribbean,2014-01-01,350085.4234,12005.76,338079.6634,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2015-01-01,337847.2311,11709.4,326137.8311,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2016-01-01,304546.8166,11259.59,293287.2266,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2017-01-01,292756.7809,7805.465999999999,284951.3149,1.701551299e+09
Brazil,BRA,Latin America/Caribbean,2011-01-01,2.470869067e+06,2.1787574469999997e+06,292111.6194,1.8029024808e+10
Brazil,BRA,Latin America/Caribbean,2012-01-01,2.481145653e+06,2.144846965e+06,336298.6883,1.8291955925e+10
Brazil,BRA,Latin America/Caribbean,2013-01-01,2.48212973e+06,2.109938141e+06,372191.5899,1.8563830734e+10
Brazil,BRA,Latin America/Caribbean,2014-01-01,2.7372703439999996e+06,2.341371973e+06,395898.37100000004,1.9239062209e+10
Brazil,BRA,Latin America/Caribbean,2015-01-01,2.928631558e+06,2.524987068e+06,403644.49,1.5787967295e+10
Brazil,BRA,Latin America/Caribbean,2016-01-01,3.016846591e+06,2.607791528e+06,409055.0634,1.5081120642e+10
Brazil,BRA,Latin America/Caribbean,2017-01-01,3.192645061e+06,2.733987098e+06,458657.963,1.51896136e+10
Brunei,BRN,Asia-Pacific,2011-01-01,165362.1162,165362.1162,,1.766178957e+09
Brunei,BRN,Asia-Pacific,2012-01-01,159031.5763,159031.5763,,1.766178957e+09
Brunei,BRN,Asia-Pacific,2013-01-01,135156.3973,135156.3973,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2014-01-01,126420.7443,126420.7443,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2015-01-01,126754.1558,126754.1558,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2016-01-01,120908.9924,120908.9924,,1.692588144e+09
